N, beta, avg_energy, std_energy, avg_mag, std_mag, tot_time, num_threads
128, 0.500000, -1464.320000, 26.616650, 0.014679, 0.001206, 0.243748, 2
192, 0.500000, 329.312000, 32.637400, 0.005504, 0.000561, 0.509287, 2
256, 0.500000, -868.304000, 38.052748, 0.001110, 0.000391, 0.867450, 2
320, 0.500000, -244.616000, 41.025549, -0.000914, 0.000281, 1.267064, 2
128, 0.500000, -1394.048000, 37.690666, 0.006674, 0.001638, 0.148564, 4
192, 0.500000, -1426.392000, 50.784500, 0.006865, 0.000795, 0.317263, 4
256, 0.500000, -2549.456000, 50.607125, 0.005690, 0.000536, 0.532095, 4
320, 0.500000, -4140.192000, 54.600809, 0.001229, 0.000361, 0.805452, 4
128, 0.500000, -2347.464000, 54.840863, 0.004655, 0.002385, 0.103547, 8
192, 0.500000, -3200.800000, 58.252428, 0.007272, 0.001174, 0.196541, 8
256, 0.500000, -4632.944000, 76.715801, 0.001624, 0.000767, 0.328701, 8
320, 0.500000, -5000.208000, 84.572177, 0.001198, 0.000533, 0.504214, 8
128, 0.500000, -1464.320000, 26.616650, 0.014679, 0.001206, 0.230941, 2
192, 0.500000, 329.312000, 32.637400, 0.005504, 0.000561, 0.475187, 2
256, 0.500000, -868.304000, 38.052748, 0.001110, 0.000391, 0.824109, 2
320, 0.500000, -244.616000, 41.025549, -0.000914, 0.000281, 1.332765, 2
128, 0.500000, -1394.048000, 37.690666, 0.006674, 0.001638, 0.165546, 4
192, 0.500000, -1426.392000, 50.784500, 0.006865, 0.000795, 0.324728, 4
256, 0.500000, -2549.456000, 50.607125, 0.005690, 0.000536, 0.586229, 4
320, 0.500000, -4140.192000, 54.600809, 0.001229, 0.000361, 0.912425, 4
128, 0.500000, -2347.464000, 54.840863, 0.004655, 0.002385, 0.101833, 8
192, 0.500000, -3200.800000, 58.252428, 0.007272, 0.001174, 0.196426, 8
256, 0.500000, -4632.944000, 76.715801, 0.001624, 0.000767, 0.330734, 8
320, 0.500000, -5000.208000, 84.572177, 0.001198, 0.000533, 0.491789, 8
128, 0.500000, -1464.320000, 26.616650, 0.014679, 0.001206, 0.253304, 2
192, 0.500000, 329.312000, 32.637400, 0.005504, 0.000561, 0.553066, 2
256, 0.500000, -868.304000, 38.052748, 0.001110, 0.000391, 0.867050, 2
320, 0.500000, -244.616000, 41.025549, -0.000914, 0.000281, 1.291226, 2
128, 0.500000, -1394.048000, 37.690666, 0.006674, 0.001638, 0.191094, 4
192, 0.500000, -1426.392000, 50.784500, 0.006865, 0.000795, 0.326414, 4
256, 0.500000, -2549.456000, 50.607125, 0.005690, 0.000536, 0.604288, 4
320, 0.500000, -4140.192000, 54.600809, 0.001229, 0.000361, 0.885170, 4
128, 0.500000, -2347.464000, 54.840863, 0.004655, 0.002385, 0.101608, 8
192, 0.500000, -3200.800000, 58.252428, 0.007272, 0.001174, 0.190499, 8
256, 0.500000, -4632.944000, 76.715801, 0.001624, 0.000767, 0.329544, 8
320, 0.500000, -5000.208000, 84.572177, 0.001198, 0.000533, 0.496463, 8
128, 0.500000, -1464.320000, 26.616650, 0.014679, 0.001206, 0.210410, 2
192, 0.500000, 329.312000, 32.637400, 0.005504, 0.000561, 0.491359, 2
256, 0.500000, -868.304000, 38.052748, 0.001110, 0.000391, 0.886740, 2
320, 0.500000, -244.616000, 41.025549, -0.000914, 0.000281, 1.452122, 2
128, 0.500000, -1394.048000, 37.690666, 0.006674, 0.001638, 0.162407, 4
192, 0.500000, -1426.392000, 50.784500, 0.006865, 0.000795, 0.322630, 4
256, 0.500000, -2549.456000, 50.607125, 0.005690, 0.000536, 0.486111, 4
320, 0.500000, -4140.192000, 54.600809, 0.001229, 0.000361, 0.858721, 4
128, 0.500000, -2347.464000, 54.840863, 0.004655, 0.002385, 0.129366, 8
192, 0.500000, -3200.800000, 58.252428, 0.007272, 0.001174, 0.191494, 8
256, 0.500000, -4632.944000, 76.715801, 0.001624, 0.000767, 0.322583, 8
320, 0.500000, -5000.208000, 84.572177, 0.001198, 0.000533, 0.486208, 8
