N, beta, avg_energy, std_energy, avg_mag, std_mag, tot_time, num_threads
1024, 0.500000, -4824.968000, 76.836911, 0.000078, 0.000050, 15.440595, 2
1472, 0.500000, -5701.280000, 91.759672, 0.000048, 0.000028, 31.859606, 2
2048, 0.500000, -9015.776000, 104.770906, 0.000016, 0.000017, 61.563457, 2
2880, 0.500000, -15013.040000, 121.619002, -0.000070, 0.000010, 121.554336, 2
4032, 0.500000, -15041.624000, 149.116915, 0.000011, 0.000006, 235.247354, 2
5696, 0.500000, -35648.608000, 182.507807, -0.000011, 0.000004, 470.847570, 2
8000, 0.500000, -24662.032000, 216.309493, 0.000012, 0.000002, 921.541919, 2
11328, 0.500000, -43769.728000, 254.625860, 0.000001, 0.000001, 1873.156813, 2
1024, 0.500000, -9612.720000, 105.549070, 0.000007, 0.000070, 4.695194, 4
1472, 0.500000, -13256.736000, 125.568889, 0.000176, 0.000040, 9.578324, 4
2048, 0.500000, -17989.952000, 144.144175, -0.000015, 0.000025, 18.317887, 4
2880, 0.500000, -26782.080000, 184.437379, 0.000027, 0.000015, 36.154789, 4
4032, 0.500000, -33380.392000, 209.133372, -0.000000, 0.000009, 70.827809, 4
5696, 0.500000, -59980.736000, 250.604751, 0.000017, 0.000005, 140.917228, 4
8000, 0.500000, -61766.960000, 301.596855, 0.000004, 0.000003, 277.724643, 4
11328, 0.500000, -95822.904000, 341.856415, 0.000003, 0.000002, 557.915578, 4
1024, 0.500000, -19277.888000, 152.410657, 0.000156, 0.000099, 2.470177, 8
1472, 0.500000, -26529.176000, 185.802787, -0.000013, 0.000058, 5.006905, 8
2048, 0.500000, -37267.728000, 214.969230, 0.000023, 0.000034, 9.646281, 8
2880, 0.500000, -55238.592000, 248.963999, 0.000074, 0.000021, 19.044894, 8
4032, 0.500000, -70211.776000, 307.580538, -0.000038, 0.000012, 36.602037, 8
5696, 0.500000, -113828.896000, 365.724563, 0.000021, 0.000007, 72.552792, 8
8000, 0.500000, -133800.808000, 433.190130, 0.000004, 0.000004, 142.750175, 8
