N, beta, avg_energy, std_energy, avg_mag, std_mag, tot_time, num_threads
128, 0.500000, -57194.552000, 879.462034, -0.752422, 0.191409, 1.392140, 1
192, 0.500000, -126201.864000, 1150.988231, 0.419837, 0.113357, 3.124864, 1
256, 0.500000, -222634.304000, 1760.253454, -0.146100, 0.036398, 5.118215, 1
320, 0.500000, -346323.032000, 2748.969108, 0.045965, 0.029564, 7.999235, 1
128, 0.500000, -55937.784000, 487.402333, -0.047920, 0.079960, 0.809839, 2
192, 0.500000, -125854.368000, 753.346541, -0.310078, 0.038100, 1.892095, 2
256, 0.500000, -223823.776000, 1516.202183, -0.010847, 0.033652, 3.234821, 2
320, 0.500000, -349217.696000, 2376.792284, -0.091361, 0.024714, 5.029240, 2
128, 0.500000, -56712.256000, 818.252988, -0.744642, 0.184312, 0.584479, 4
192, 0.500000, -125995.744000, 1314.969051, -0.294292, 0.155577, 1.268355, 4
256, 0.500000, -223997.416000, 1753.014669, -0.032274, 0.025305, 2.146094, 4
320, 0.500000, -347942.512000, 3461.809667, -0.173964, 0.050260, 3.363730, 4
128, 0.500000, -55479.112000, 849.575007, 0.452128, 0.246250, 0.427613, 8
192, 0.500000, -127992.960000, 1607.529263, -0.854462, 0.110335, 0.800042, 8
256, 0.500000, -224863.128000, 2205.834181, -0.327829, 0.121642, 1.418378, 8
320, 0.500000, -348567.136000, 3587.731437, 0.161335, 0.042363, 2.168670, 8
128, 0.500000, -56298.936000, 798.652090, -0.785935, 0.163566, 1.315638, 1
192, 0.500000, -126652.504000, 1687.933867, 0.565622, 0.236314, 2.875119, 1
256, 0.500000, -222267.960000, 1690.019561, -0.028078, 0.032423, 5.218827, 1
320, 0.500000, -348575.240000, 2346.186983, 0.189225, 0.086789, 8.843672, 1
128, 0.500000, -55262.048000, 448.710038, -0.035553, 0.058029, 0.751517, 2
192, 0.500000, -124695.384000, 1150.744925, -0.002547, 0.051975, 1.708723, 2
256, 0.500000, -221981.736000, 1623.587474, -0.195615, 0.052621, 3.157674, 2
320, 0.500000, -350900.392000, 2937.708924, 0.018402, 0.011910, 4.956862, 2
128, 0.500000, -54630.728000, 426.753724, -0.037386, 0.094857, 0.602027, 4
192, 0.500000, -126040.512000, 1372.493143, -0.549885, 0.149505, 1.188888, 4
256, 0.500000, -222608.840000, 1811.315747, 0.200336, 0.026249, 2.092775, 4
320, 0.500000, -346546.072000, 2911.604258, 0.060391, 0.059471, 3.238056, 4
128, 0.500000, -55289.200000, 580.931150, -0.055936, 0.051499, 0.506620, 8
192, 0.500000, -126839.768000, 1140.560996, -0.676206, 0.115557, 0.787849, 8
256, 0.500000, -223204.520000, 1574.872109, 0.150085, 0.074143, 1.466538, 8
320, 0.500000, -348596.896000, 2488.255888, -0.103005, 0.027186, 2.130548, 8
128, 0.500000, -56809.032000, 920.936229, -0.753716, 0.183587, 1.289048, 1
192, 0.500000, -125751.920000, 1426.846923, 0.464846, 0.220088, 2.874569, 1
256, 0.500000, -224284.368000, 1853.682891, -0.162196, 0.061013, 5.139688, 1
320, 0.500000, -348108.016000, 2626.788967, 0.106883, 0.044035, 8.081070, 1
128, 0.500000, -55469.032000, 425.026529, -0.006231, 0.052346, 0.800983, 2
192, 0.500000, -125099.016000, 991.636695, 0.167193, 0.123046, 1.825956, 2
256, 0.500000, -223348.768000, 1970.299474, -0.115353, 0.017351, 3.283619, 2
320, 0.500000, -350825.160000, 3410.881984, -0.204121, 0.034971, 5.061939, 2
128, 0.500000, -56095.168000, 965.961178, 0.626772, 0.250233, 0.606171, 4
192, 0.500000, -125337.392000, 1026.169865, 0.099940, 0.179189, 1.201380, 4
256, 0.500000, -222056.568000, 1911.500137, -0.237454, 0.103458, 2.226800, 4
320, 0.500000, -348752.512000, 2764.787618, 0.001855, 0.018486, 3.256541, 4
128, 0.500000, -56741.744000, 1090.877796, 0.821281, 0.173464, 0.423190, 8
192, 0.500000, -124884.656000, 1072.040615, 0.208143, 0.108380, 0.894553, 8
256, 0.500000, -224470.432000, 2327.181699, -0.521117, 0.160644, 1.570129, 8
320, 0.500000, -349851.696000, 3421.806680, 0.164453, 0.025044, 2.178410, 8
128, 0.500000, -55415.232000, 949.384646, -0.690354, 0.182717, 1.330012, 1
192, 0.500000, -126263.720000, 1287.306916, 0.488510, 0.187050, 2.969138, 1
256, 0.500000, -221047.320000, 1861.744067, -0.020833, 0.023197, 5.221402, 1
320, 0.500000, -346646.800000, 2838.790923, 0.086436, 0.051519, 8.201226, 1
128, 0.500000, -54802.552000, 715.483162, 0.396978, 0.285067, 0.808077, 2
192, 0.500000, -124860.840000, 996.276518, 0.399793, 0.171275, 1.782190, 2
256, 0.500000, -223374.360000, 1910.179070, 0.443431, 0.162694, 3.226021, 2
320, 0.500000, -349009.104000, 2868.740474, -0.254325, 0.023498, 4.958115, 2
128, 0.500000, -56199.840000, 954.934571, 0.675161, 0.248206, 0.533285, 4
192, 0.500000, -124681.848000, 1008.942840, 0.200722, 0.124471, 1.155198, 4
256, 0.500000, -221222.032000, 1940.039325, -0.037665, 0.047526, 2.109831, 4
320, 0.500000, -347187.664000, 2671.310722, -0.157513, 0.060393, 3.124433, 4
128, 0.500000, -55015.904000, 538.031074, 0.105064, 0.084010, 0.453828, 8
192, 0.500000, -126175.248000, 1105.624232, -0.554963, 0.118856, 0.786174, 8
256, 0.500000, -224134.360000, 2332.401015, -0.528860, 0.118969, 1.475439, 8
320, 0.500000, -349159.368000, 2336.277587, -0.069815, 0.027448, 2.184964, 8
