N, beta, avg_energy, std_energy, avg_mag, std_mag, tot_time, num_threads
128, 0.500000, -56458.904000, 817.923315, -0.730789, 0.189760, 1.353019, 1
192, 0.500000, -126209.120000, 1597.800618, 0.561374, 0.220279, 3.097016, 1
256, 0.500000, -224054.376000, 1568.094250, -0.082345, 0.023639, 5.450808, 1
320, 0.500000, -348757.504000, 2630.750036, 0.073854, 0.049522, 8.523286, 1
128, 0.500000, -55436.640000, 402.575063, -0.098436, 0.086458, 0.883657, 2
192, 0.500000, -124781.920000, 990.002781, 0.139512, 0.044163, 1.901981, 2
256, 0.500000, -223893.400000, 1197.943420, -0.166914, 0.015262, 3.403052, 2
320, 0.500000, -349408.112000, 2997.458065, 0.187229, 0.044500, 4.975011, 2
128, 0.500000, -55417.312000, 526.267860, -0.013820, 0.070478, 0.551494, 4
192, 0.500000, -125146.744000, 875.848588, 0.148307, 0.063787, 1.294801, 4
256, 0.500000, -223219.800000, 1396.761118, 0.094361, 0.019066, 2.113970, 4
320, 0.500000, -350706.088000, 3950.434456, -0.548771, 0.162606, 3.487212, 4
128, 0.500000, -54975.304000, 750.252797, -0.349730, 0.198908, 0.414203, 8
192, 0.500000, -125110.736000, 950.126235, -0.196476, 0.031862, 0.901910, 8
256, 0.500000, -222791.688000, 1524.471406, -0.046517, 0.018514, 1.403583, 8
320, 0.500000, -348653.472000, 2863.724025, 0.125528, 0.045560, 2.165125, 8
128, 0.500000, -56254.744000, 940.566817, -0.797314, 0.179640, 1.371829, 1
192, 0.500000, -126201.872000, 1424.974062, 0.520964, 0.213879, 3.031196, 1
256, 0.500000, -223468.688000, 1837.933132, -0.119347, 0.028143, 5.087620, 1
320, 0.500000, -347703.392000, 2506.608807, 0.127375, 0.044972, 8.387688, 1
128, 0.500000, -54948.568000, 459.462328, -0.126186, 0.097394, 0.875585, 2
192, 0.500000, -125511.456000, 786.031621, -0.332190, 0.127298, 1.861073, 2
256, 0.500000, -223089.872000, 1778.831806, 0.033618, 0.022766, 3.155842, 2
320, 0.500000, -348617.824000, 2707.895483, 0.116631, 0.022965, 4.983987, 2
128, 0.500000, -55614.176000, 1156.932273, 0.674989, 0.273066, 0.549172, 4
192, 0.500000, -126395.160000, 1529.809116, 0.731702, 0.152433, 1.207933, 4
256, 0.500000, -223529.872000, 1954.175378, 0.335127, 0.099579, 2.241088, 4
