N, beta, avg_energy, std_energy, avg_mag, std_mag, tot_time, num_threads
1024, 0.500000, -3556794.800000, 31128.580999, 0.178240, 0.055215, 55.787119, 1
1472, 0.500000, -7370953.512000, 58320.885398, 0.057680, 0.005536, 115.444753, 1
2048, 0.500000, -14261571.704000, 135067.330782, -0.001300, 0.003338, 225.455663, 1
2880, 0.500000, -28247687.168000, 224500.573288, 0.022829, 0.003437, 452.310009, 1
4032, 0.500000, -55358271.248000, 448298.091283, 0.005284, 0.002831, 942.626034, 1
5696, 0.500000, -110635845.016000, 906818.913246, 0.005124, 0.004105, 1965.544239, 1
8000, 0.500000, -217907948.584000, 1740182.262629, -0.015934, 0.003633, 3869.951461, 1
11328, 0.500000, -436931754.040000, 3434461.618032, 0.004262, 0.001747, 7766.860012, 1
1024, 0.500000, -3556860.728000, 27500.886215, -0.030781, 0.006151, 33.670017, 2
1472, 0.500000, -7373571.008000, 63917.038612, -0.073344, 0.023152, 70.284936, 2
2048, 0.500000, -14266799.736000, 134915.573512, 0.031872, 0.008262, 134.981304, 2
2880, 0.500000, -28228299.360000, 230100.634203, -0.021062, 0.009608, 265.508720, 2
4032, 0.500000, -55352070.784000, 454455.305397, -0.003085, 0.003319, 522.564105, 2
5696, 0.500000, -110634736.088000, 911891.305884, -0.033520, 0.009540, 1041.025143, 2
8000, 0.500000, -217769973.880000, 1744061.526964, -0.009459, 0.001688, 2047.042630, 2
11328, 0.500000, -436882027.920000, 3442476.845455, -0.003536, 0.001818, 4086.813933, 2
1024, 0.500000, -3566039.368000, 28604.635934, 0.008190, 0.007889, 18.494765, 4
1472, 0.500000, -7379646.808000, 64963.960940, 0.023865, 0.004237, 37.882053, 4
2048, 0.500000, -14253966.064000, 139718.510094, -0.013573, 0.003705, 73.236383, 4
2880, 0.500000, -28223111.688000, 224549.610533, -0.016318, 0.007465, 146.438230, 4
4032, 0.500000, -55375681.512000, 468141.843485, -0.001425, 0.002690, 287.220009, 4
5696, 0.500000, -110621252.848000, 923713.026438, -0.003467, 0.002259, 568.104560, 4
8000, 0.500000, -217863972.904000, 1745134.006065, 0.014164, 0.003794, 1114.242446, 4
11328, 0.500000, -436904895.672000, 3448526.220724, 0.006633, 0.003325, 2205.903845, 4
1024, 0.500000, -3561693.504000, 28588.683115, 0.016145, 0.013430, 11.093559, 8
1472, 0.500000, -7376845.624000, 60835.659998, 0.054148, 0.009085, 22.423507, 8
2048, 0.500000, -14254485.160000, 135302.277757, -0.011081, 0.002783, 43.098201, 8
2880, 0.500000, -28230859.536000, 226343.338733, 0.027111, 0.012897, 92.167583, 8
4032, 0.500000, -55371552.544000, 458487.097843, 0.004199, 0.003330, 176.328718, 8
5696, 0.500000, -110669589.416000, 920984.702428, 0.026394, 0.008962, 339.636674, 8
8000, 0.500000, -217824302.984000, 1708409.855928, -0.002514, 0.001188, 664.442031, 8
11328, 0.500000, -436942725.728000, 3437282.745440, -0.001356, 0.000765, 1344.644477, 8
1024, 0.500000, -3565162.776000, 28977.469535, -0.107409, 0.045563, 7.909672, 16
1472, 0.500000, -7376353.976000, 61974.565386, -0.049063, 0.022027, 15.762842, 16
2048, 0.500000, -14254625.224000, 131921.382524, 0.051852, 0.020298, 30.594711, 16
2880, 0.500000, -28230785.000000, 230745.101355, -0.043058, 0.011254, 64.846102, 16
4032, 0.500000, -55342724.056000, 458175.094429, 0.028840, 0.007459, 123.908354, 16
5696, 0.500000, -110679928.408000, 942823.964528, 0.008952, 0.003342, 233.845153, 16
8000, 0.500000, -217850368.512000, 1732126.134539, 0.003941, 0.002888, 448.480314, 16
11328, 0.500000, -436951468.200000, 3465796.261811, 0.004405, 0.002612, 887.740214, 16
1024, 0.500000, -3567457.096000, 29701.658646, -0.075574, 0.047565, 6.874103, 32
1472, 0.500000, -7382063.840000, 63480.151884, 0.032746, 0.005772, 13.412494, 32
2048, 0.500000, -14263847.144000, 137914.638959, 0.010587, 0.003298, 25.256635, 32
2880, 0.500000, -28256251.640000, 234573.581568, -0.006124, 0.002208, 53.649410, 32
4032, 0.500000, -55363875.312000, 451610.251014, 0.026431, 0.008147, 101.336631, 32
5696, 0.500000, -110676025.608000, 914276.300396, 0.000210, 0.001768, 191.403799, 32
8000, 0.500000, -217863660.520000, 1753641.546045, -0.004945, 0.002960, 348.973836, 32
11328, 0.500000, -436917402.176000, 3453607.708433, -0.000339, 0.000765, 672.974326, 32
1024, 0.500000, -3559245.504000, 28638.306821, 0.056345, 0.026073, 7.102358, 64
1472, 0.500000, -7390325.240000, 65095.716169, 0.046645, 0.007234, 14.616319, 64
2048, 0.500000, -14261015.880000, 137089.021271, -0.043277, 0.010725, 28.041760, 64
2880, 0.500000, -28235952.688000, 225617.384259, 0.026531, 0.007408, 54.838312, 64
4032, 0.500000, -55348088.120000, 471099.274497, 0.003982, 0.001653, 93.428462, 64
5696, 0.500000, -110661190.608000, 929249.293805, 0.003170, 0.002219, 170.661161, 64
8000, 0.500000, -217865782.632000, 1749319.741662, -0.000111, 0.000863, 314.311978, 64
11328, 0.500000, -436926444.312000, 3433160.474071, 0.006466, 0.001500, 615.564901, 64
1024, 0.500000, -3556794.800000, 31128.580999, 0.178240, 0.055215, 56.528678, 1
1472, 0.500000, -7370953.512000, 58320.885398, 0.057680, 0.005536, 116.443577, 1
2048, 0.500000, -14261571.704000, 135067.330782, -0.001300, 0.003338, 229.495618, 1
2880, 0.500000, -28247687.168000, 224500.573288, 0.022829, 0.003437, 447.464533, 1
4032, 0.500000, -55358271.248000, 448298.091283, 0.005284, 0.002831, 884.528133, 1
5696, 0.500000, -110635845.016000, 906818.913246, 0.005124, 0.004105, 1758.658134, 1
8000, 0.500000, -217907948.584000, 1740182.262629, -0.015934, 0.003633, 3473.749344, 1
11328, 0.500000, -436931754.040000, 3434461.618032, 0.004262, 0.001747, 6964.441822, 1
1024, 0.500000, -3559175.496000, 26798.933528, -0.078236, 0.024944, 29.960043, 2
1472, 0.500000, -7381673.616000, 58675.762200, -0.051440, 0.022160, 62.637481, 2
2048, 0.500000, -14266085.264000, 144077.671103, 0.020398, 0.005839, 122.325035, 2
2880, 0.500000, -28249678.008000, 227949.587702, 0.001605, 0.003047, 242.901767, 2
4032, 0.500000, -55368214.720000, 454548.124885, -0.000872, 0.002184, 473.585122, 2
5696, 0.500000, -110643482.720000, 909069.574629, -0.005194, 0.001449, 942.124798, 2
8000, 0.500000, -217845068.448000, 1729052.518634, -0.002693, 0.001236, 1846.783421, 2
11328, 0.500000, -436982756.088000, 3437010.467969, -0.001017, 0.001309, 3710.822717, 2
1024, 0.500000, -3566049.952000, 30071.333073, -0.091208, 0.014894, 16.719016, 4
1472, 0.500000, -7384472.696000, 59030.919468, 0.011475, 0.007816, 35.579562, 4
2048, 0.500000, -14285694.784000, 142924.243154, 0.094627, 0.022645, 68.251079, 4
2880, 0.500000, -28245836.720000, 223344.726459, 0.011021, 0.004832, 140.616887, 4
4032, 0.500000, -55367641.816000, 470765.568798, 0.007004, 0.003513, 274.370906, 4
5696, 0.500000, -110701540.216000, 904324.003209, -0.018948, 0.005843, 534.881036, 4
8000, 0.500000, -217883516.952000, 1755421.750073, -0.000149, 0.001663, 1034.380772, 4
11328, 0.500000, -436819902.176000, 3437924.583680, 0.010437, 0.003937, 2060.360225, 4
1024, 0.500000, -3564641.432000, 28950.520691, -0.078918, 0.035144, 10.603183, 8
1472, 0.500000, -7378763.632000, 63959.736480, -0.013375, 0.008207, 21.686852, 8
2048, 0.500000, -14265875.280000, 141258.677999, -0.032806, 0.011059, 42.629685, 8
2880, 0.500000, -28243288.664000, 227899.592950, 0.034577, 0.009486, 91.514362, 8
4032, 0.500000, -55374943.472000, 460551.591443, -0.009770, 0.002142, 169.487172, 8
5696, 0.500000, -110634741.152000, 916617.425393, 0.000623, 0.001466, 332.218433, 8
8000, 0.500000, -217862924.424000, 1739846.646267, 0.011717, 0.003644, 642.360200, 8
11328, 0.500000, -436927433.960000, 3440858.261700, 0.006631, 0.002084, 1305.482173, 8
1024, 0.500000, -3564307.848000, 28845.864656, 0.064254, 0.013625, 8.034806, 16
1472, 0.500000, -7382600.648000, 62806.880834, -0.058675, 0.018379, 16.122416, 16
2048, 0.500000, -14277882.608000, 139159.503208, 0.011623, 0.003077, 30.506367, 16
2880, 0.500000, -28243385.280000, 230428.693938, -0.064535, 0.016741, 64.507034, 16
4032, 0.500000, -55361598.648000, 456675.624487, -0.007178, 0.001921, 124.013313, 16
5696, 0.500000, -110659383.400000, 915790.780790, 0.010554, 0.002126, 237.626045, 16
8000, 0.500000, -217862190.496000, 1756727.325946, -0.003951, 0.001058, 456.876485, 16
11328, 0.500000, -436890483.200000, 3412249.641687, 0.004251, 0.002082, 883.863908, 16
1024, 0.500000, -3564804.144000, 31076.125351, 0.052325, 0.023215, 7.040430, 32
1472, 0.500000, -7381428.000000, 60227.477960, -0.003956, 0.012010, 13.722741, 32
2048, 0.500000, -14256557.992000, 134982.213688, 0.045010, 0.018907, 25.591536, 32
2880, 0.500000, -28242098.760000, 229357.453046, -0.026403, 0.002713, 54.306089, 32
4032, 0.500000, -55350662.808000, 463825.735744, 0.027864, 0.007746, 98.882225, 32
5696, 0.500000, -110635745.152000, 924436.469905, 0.003016, 0.001245, 198.140401, 32
8000, 0.500000, -217903752.528000, 1745758.706121, 0.001504, 0.000962, 374.782008, 32
11328, 0.500000, -436916756.912000, 3447240.418755, 0.000376, 0.001035, 683.972894, 32
1024, 0.500000, -3554068.200000, 28211.834904, 0.005878, 0.015045, 7.063062, 64
1472, 0.500000, -7377574.112000, 64096.798775, -0.072069, 0.029610, 14.295814, 64
2048, 0.500000, -14268412.920000, 138193.735042, 0.028335, 0.002664, 30.036165, 64
2880, 0.500000, -28258114.696000, 231145.202866, -0.018327, 0.009432, 56.443284, 64
4032, 0.500000, -55362517.336000, 458421.670314, 0.000433, 0.005692, 94.664720, 64
5696, 0.500000, -110661731.136000, 919788.085412, 0.012074, 0.003790, 171.965820, 64
8000, 0.500000, -217901516.000000, 1751124.667251, 0.014381, 0.002972, 310.822951, 64
11328, 0.500000, -436913015.008000, 3466080.470943, 0.001616, 0.000984, 615.629148, 64
