N, beta, avg_energy, std_energy, avg_mag, std_mag, tot_time, num_threads
128, 0.500000, -57395.736000, 749.644722, -0.782366, 0.164356, 1.415080, 1
192, 0.500000, -126324.136000, 1026.501003, 0.273177, 0.099257, 3.106831, 1
256, 0.500000, -222947.976000, 1620.496979, -0.037126, 0.040348, 5.271450, 1
320, 0.500000, -347066.008000, 2722.318296, 0.107683, 0.069433, 8.558557, 1
128, 0.500000, -55654.696000, 441.901610, 0.018950, 0.065426, 0.765155, 2
192, 0.500000, -125909.080000, 1234.702437, 0.373287, 0.081075, 1.806713, 2
256, 0.500000, -223855.576000, 1697.876654, -0.290591, 0.054267, 3.340570, 2
