N, beta, avg_energy, std_energy, avg_mag, std_mag, tot_time, num_threads
128, 0.500000, -58338.544000, 836.638677, -0.823844, 0.166727, 1.361598, 1
192, 0.500000, -128170.832000, 1116.967342, 0.325289, 0.134695, 3.018888, 1
256, 0.500000, -225318.496000, 1893.007436, -0.066205, 0.036796, 5.138549, 1
320, 0.500000, -349184.296000, 2962.953434, 0.102082, 0.021997, 8.059655, 1
128, 0.500000, -56149.968000, 431.021432, 0.042601, 0.055974, 0.862564, 2
192, 0.500000, -128153.096000, 1455.576179, -0.616818, 0.177154, 1.723680, 2
256, 0.500000, -223964.032000, 1795.120299, 0.046639, 0.040904, 3.230704, 2
320, 0.500000, -351489.464000, 3466.454893, 0.303302, 0.133608, 5.018785, 2
128, 0.500000, -55582.152000, 447.550728, -0.027270, 0.099113, 0.567718, 4
192, 0.500000, -127147.192000, 1417.750247, 0.590586, 0.174717, 1.228686, 4
256, 0.500000, -222921.344000, 1612.449698, -0.042096, 0.033606, 2.114015, 4
320, 0.500000, -349823.896000, 2944.337936, 0.029683, 0.039563, 3.430035, 4
128, 0.500000, -56500.264000, 1080.645843, -0.742879, 0.230752, 0.422531, 8
192, 0.500000, -124543.216000, 848.621239, -0.162364, 0.074580, 0.816509, 8
256, 0.500000, -225202.536000, 2782.252032, -0.572580, 0.199141, 1.433933, 8
320, 0.500000, -351324.536000, 2842.847872, -0.168053, 0.048424, 2.092386, 8
128, 0.500000, -56491.984000, 741.129101, -0.725387, 0.165590, 1.306626, 1
192, 0.500000, -125749.328000, 1437.591233, 0.376773, 0.184255, 2.904084, 1
256, 0.500000, -223218.984000, 1873.243051, -0.219786, 0.053194, 5.145625, 1
320, 0.500000, -347981.848000, 2517.175119, 0.085563, 0.041052, 7.992940, 1
128, 0.500000, -55639.520000, 409.274220, 0.125014, 0.137395, 0.792410, 2
192, 0.500000, -126244.200000, 2411.029463, -0.659946, 0.240232, 1.768004, 2
256, 0.500000, -221586.976000, 2137.403379, -0.075803, 0.037668, 3.219373, 2
320, 0.500000, -349871.240000, 2787.624601, 0.031708, 0.031248, 4.958442, 2
128, 0.500000, -56592.176000, 1173.896439, -0.709653, 0.254573, 0.516925, 4
192, 0.500000, -125763.120000, 1094.222619, 0.278288, 0.176118, 1.189063, 4
256, 0.500000, -223693.176000, 1547.572115, -0.085207, 0.029667, 2.093734, 4
320, 0.500000, -350584.904000, 3989.407157, -0.583508, 0.124132, 3.351644, 4
128, 0.500000, -55688.080000, 1025.115505, -0.528513, 0.242224, 0.549138, 8
192, 0.500000, -125444.672000, 1211.630074, -0.474379, 0.131605, 0.790507, 8
256, 0.500000, -223164.960000, 1491.551180, -0.192586, 0.015522, 1.440447, 8
320, 0.500000, -349708.640000, 4069.014897, -0.531436, 0.177728, 2.124283, 8
128, 0.500000, -56754.776000, 794.804938, -0.777992, 0.163402, 1.295188, 1
192, 0.500000, -124684.160000, 1430.803905, 0.421215, 0.181211, 2.927464, 1
256, 0.500000, -221075.664000, 1891.131694, -0.129943, 0.055150, 5.135436, 1
320, 0.500000, -343442.688000, 2367.773616, 0.112880, 0.029269, 8.010278, 1
128, 0.500000, -55410.832000, 450.145064, -0.021459, 0.120864, 0.836025, 2
192, 0.500000, -125202.128000, 1131.882038, 0.223405, 0.041791, 1.819275, 2
256, 0.500000, -221441.688000, 1809.084910, -0.015207, 0.021464, 3.212913, 2
320, 0.500000, -348293.280000, 3954.679249, -0.435755, 0.132445, 4.797686, 2
128, 0.500000, -57263.512000, 761.647959, 0.881661, 0.082770, 0.519563, 4
192, 0.500000, -125274.376000, 1104.352609, 0.360749, 0.100015, 1.164686, 4
256, 0.500000, -222602.008000, 2473.734965, 0.032339, 0.025085, 2.060028, 4
320, 0.500000, -349284.264000, 4386.630535, -0.529085, 0.163726, 3.251773, 4
128, 0.500000, -56318.280000, 1185.018602, 0.667885, 0.302910, 0.427444, 8
192, 0.500000, -126137.992000, 1652.470355, 0.567369, 0.215345, 0.782825, 8
256, 0.500000, -223635.376000, 1986.342476, -0.465013, 0.154334, 1.535008, 8
320, 0.500000, -348215.096000, 3598.848729, -0.204737, 0.084162, 2.181818, 8
128, 0.500000, -56620.416000, 909.843553, -0.799114, 0.168331, 1.403458, 1
192, 0.500000, -125164.776000, 1342.607234, 0.351796, 0.185567, 3.050079, 1
256, 0.500000, -222295.936000, 1738.241366, -0.291723, 0.079519, 5.264006, 1
320, 0.500000, -346925.384000, 2541.391049, -0.045438, 0.026692, 8.119049, 1
128, 0.500000, -54706.888000, 508.283350, -0.104099, 0.098385, 0.871059, 2
192, 0.500000, -125546.320000, 982.869209, -0.218574, 0.043712, 1.755483, 2
256, 0.500000, -222308.744000, 1411.759050, -0.081389, 0.066435, 3.148685, 2
320, 0.500000, -348579.872000, 3015.979616, 0.110645, 0.060557, 5.125009, 2
128, 0.500000, -55327.080000, 420.934146, -0.121562, 0.079141, 0.597636, 4
192, 0.500000, -124308.016000, 1366.466497, 0.120727, 0.042870, 1.161554, 4
256, 0.500000, -221957.392000, 2075.685241, -0.053317, 0.044728, 2.304190, 4
320, 0.500000, -347449.392000, 3100.503337, 0.253888, 0.124840, 3.323773, 4
128, 0.500000, -56161.112000, 1201.590076, 0.585030, 0.307230, 0.448275, 8
192, 0.500000, -124943.504000, 1045.879129, -0.103201, 0.081622, 1.172455, 8
256, 0.500000, -221735.640000, 2294.487551, -0.294138, 0.062173, 1.467518, 8
320, 0.500000, -348586.248000, 2905.766156, 0.087391, 0.014586, 2.152044, 8
