N, beta, avg_energy, std_energy, avg_mag, std_mag, tot_time, num_threads
128, 0.500000, -56868.120000, 880.909450, -0.816396, 0.163040, 1.379433, 1
192, 0.500000, -126822.872000, 1415.415524, 0.558753, 0.198668, 3.167592, 1
256, 0.500000, -223555.280000, 1797.616215, -0.257640, 0.076050, 5.491341, 1
320, 0.500000, -348408.016000, 2793.358702, 0.152298, 0.083853, 8.567770, 1
128, 0.500000, -55466.848000, 426.692587, 0.114075, 0.069105, 0.816070, 2
192, 0.500000, -125732.712000, 1709.189653, -0.627804, 0.191781, 1.774157, 2
256, 0.500000, -223319.568000, 1829.889673, 0.178941, 0.086525, 3.155664, 2
320, 0.500000, -348571.608000, 2619.864678, -0.211025, 0.080153, 4.971943, 2
128, 0.500000, -55406.040000, 991.869376, 0.439935, 0.286919, 0.539624, 4
192, 0.500000, -127172.792000, 1579.590270, -0.734818, 0.152166, 1.213231, 4
256, 0.500000, -223634.640000, 1548.134317, 0.098091, 0.050397, 2.146478, 4
320, 0.500000, -348595.200000, 2901.127333, -0.281019, 0.128831, 3.324337, 4
128, 0.500000, -56244.072000, 928.415768, 0.704375, 0.212227, 0.392692, 8
192, 0.500000, -124747.128000, 1051.278556, 0.190897, 0.103114, 0.779802, 8
256, 0.500000, -221495.416000, 1534.164437, -0.106121, 0.101725, 1.485258, 8
320, 0.500000, -349020.616000, 3354.938235, -0.103741, 0.063383, 2.146996, 8
128, 0.500000, -56161.632000, 852.992889, -0.797257, 0.159238, 1.317713, 1
192, 0.500000, -124090.288000, 1257.516403, 0.389845, 0.160580, 2.972396, 1
256, 0.500000, -221761.560000, 2053.474836, -0.284021, 0.091217, 5.181872, 1
320, 0.500000, -345372.424000, 2721.673973, 0.090026, 0.040056, 8.464668, 1
128, 0.500000, -55336.832000, 434.243622, 0.017304, 0.043674, 0.833155, 2
192, 0.500000, -125043.288000, 954.341149, 0.284306, 0.046738, 1.838422, 2
256, 0.500000, -221380.848000, 2111.876551, -0.176151, 0.132335, 3.184954, 2
320, 0.500000, -348298.632000, 3237.249493, -0.466459, 0.054658, 4.950748, 2
128, 0.500000, -56547.296000, 785.995143, 0.856815, 0.107992, 0.577214, 4
192, 0.500000, -125165.176000, 1118.026415, 0.268879, 0.054497, 1.251574, 4
256, 0.500000, -222804.056000, 2101.226960, 0.163438, 0.022321, 2.048536, 4
320, 0.500000, -349674.472000, 2983.345703, -0.195654, 0.035820, 3.216724, 4
128, 0.500000, -56072.384000, 1023.549065, 0.686294, 0.229831, 0.460900, 8
192, 0.500000, -125502.968000, 1388.273367, -0.513657, 0.179292, 0.778860, 8
256, 0.500000, -223460.384000, 1505.905246, -0.161889, 0.102335, 1.449657, 8
320, 0.500000, -349183.152000, 2748.300989, 0.327935, 0.037632, 2.128463, 8
128, 0.500000, -56474.648000, 808.574328, -0.762335, 0.186008, 1.319536, 1
192, 0.500000, -126353.760000, 1309.638285, 0.412151, 0.168586, 2.950158, 1
256, 0.500000, -222690.192000, 1743.773390, -0.156864, 0.062502, 5.213954, 1
320, 0.500000, -348420.512000, 2761.472580, 0.193597, 0.082584, 8.072981, 1
128, 0.500000, -55408.904000, 416.483913, -0.021211, 0.055546, 0.799247, 2
192, 0.500000, -124478.064000, 1314.669650, -0.034026, 0.038512, 1.730031, 2
256, 0.500000, -223142.744000, 1590.507786, 0.111447, 0.019266, 3.209011, 2
320, 0.500000, -349041.280000, 3114.892649, -0.246977, 0.062294, 4.976685, 2
128, 0.500000, -55580.256000, 594.447177, -0.044749, 0.057415, 0.585586, 4
192, 0.500000, -126200.872000, 1380.767195, 0.568336, 0.145793, 1.163159, 4
256, 0.500000, -222705.944000, 1576.668973, 0.146445, 0.069470, 2.124725, 4
320, 0.500000, -347695.408000, 3004.445225, 0.116193, 0.039381, 3.345631, 4
128, 0.500000, -55419.848000, 653.778981, -0.195275, 0.074898, 0.445458, 8
192, 0.500000, -125612.744000, 1297.908044, 0.393674, 0.161787, 0.793514, 8
256, 0.500000, -222874.360000, 2214.668058, -0.241179, 0.090186, 1.583257, 8
320, 0.500000, -349532.088000, 2952.476632, 0.380416, 0.103333, 2.149715, 8
128, 0.500000, -56695.080000, 898.113544, -0.791204, 0.184956, 1.353346, 1
192, 0.500000, -125742.048000, 1429.523058, 0.541773, 0.215907, 2.947651, 1
256, 0.500000, -223063.392000, 1835.609302, -0.197993, 0.044305, 5.221262, 1
320, 0.500000, -347010.280000, 2820.790354, 0.095014, 0.049884, 8.196007, 1
128, 0.500000, -55318.968000, 431.810462, -0.056745, 0.042038, 0.801376, 2
