N, beta, avg_energy, std_energy, avg_mag, std_mag, tot_time, num_threads
128, 0.500000, -56963.256000, 761.805068, -0.829410, 0.146438, 1.357093, 1
192, 0.500000, -126016.680000, 1489.084255, 0.497415, 0.182994, 3.077213, 1
256, 0.500000, -224033.024000, 2063.274521, -0.285866, 0.108358, 5.418573, 1
320, 0.500000, -347163.424000, 2555.448291, 0.078957, 0.040317, 8.459366, 1
128, 0.500000, -55748.672000, 406.921887, 0.059700, 0.038301, 0.762121, 2
192, 0.500000, -127057.832000, 1474.604619, -0.700466, 0.164019, 1.754361, 2
256, 0.500000, -222798.880000, 2385.983930, -0.086585, 0.062016, 3.141676, 2
320, 0.500000, -348256.344000, 3120.422539, -0.207239, 0.067188, 4.765669, 2
128, 0.500000, -57257.184000, 762.393453, -0.871847, 0.096801, 0.581058, 4
192, 0.500000, -125349.080000, 1014.435430, -0.113043, 0.039348, 1.185648, 4
256, 0.500000, -222561.784000, 2432.401806, -0.350522, 0.131475, 2.149177, 4
320, 0.500000, -348107.560000, 3493.599412, 0.039507, 0.060023, 3.169043, 4
128, 0.500000, -56168.176000, 1130.233458, 0.657942, 0.235081, 0.400513, 8
192, 0.500000, -124722.000000, 1159.414729, 0.035029, 0.053110, 0.786092, 8
256, 0.500000, -223412.904000, 1968.703264, 0.315953, 0.127055, 1.434806, 8
320, 0.500000, -349762.456000, 3476.932057, -0.342276, 0.131063, 2.093748, 8
128, 0.500000, -57545.720000, 853.843045, -0.788391, 0.178290, 1.274332, 1
