N, beta, avg_energy, std_energy, avg_mag, std_mag, tot_time, num_threads
128, 0.500000, -1464.320000, 26.616650, 0.014679, 0.001206, 0.290235, 2
192, 0.500000, 329.312000, 32.637400, 0.005504, 0.000561, 0.466123, 2
256, 0.500000, -868.304000, 38.052748, 0.001110, 0.000391, 0.829939, 2
320, 0.500000, -244.616000, 41.025549, -0.000914, 0.000281, 1.523675, 2
128, 0.500000, -1394.048000, 37.690666, 0.006674, 0.001638, 0.160753, 4
192, 0.500000, -1426.392000, 50.784500, 0.006865, 0.000795, 0.332453, 4
256, 0.500000, -2549.456000, 50.607125, 0.005690, 0.000536, 0.551388, 4
320, 0.500000, -4140.192000, 54.600809, 0.001229, 0.000361, 0.777981, 4
128, 0.500000, -2347.464000, 54.840863, 0.004655, 0.002385, 0.259883, 8
192, 0.500000, -3200.800000, 58.252428, 0.007272, 0.001174, 0.218758, 8
256, 0.500000, -4632.944000, 76.715801, 0.001624, 0.000767, 0.339756, 8
320, 0.500000, -5000.208000, 84.572177, 0.001198, 0.000533, 0.497668, 8
128, 0.500000, -1464.320000, 26.616650, 0.014679, 0.001206, 0.251316, 2
192, 0.500000, 329.312000, 32.637400, 0.005504, 0.000561, 0.492042, 2
256, 0.500000, -868.304000, 38.052748, 0.001110, 0.000391, 0.914651, 2
320, 0.500000, -244.616000, 41.025549, -0.000914, 0.000281, 1.378963, 2
128, 0.500000, -1394.048000, 37.690666, 0.006674, 0.001638, 0.162108, 4
192, 0.500000, -1426.392000, 50.784500, 0.006865, 0.000795, 0.348099, 4
256, 0.500000, -2549.456000, 50.607125, 0.005690, 0.000536, 0.494088, 4
320, 0.500000, -4140.192000, 54.600809, 0.001229, 0.000361, 0.844636, 4
128, 0.500000, -2347.464000, 54.840863, 0.004655, 0.002385, 0.188861, 8
192, 0.500000, -3200.800000, 58.252428, 0.007272, 0.001174, 0.220469, 8
256, 0.500000, -4632.944000, 76.715801, 0.001624, 0.000767, 0.417876, 8
320, 0.500000, -5000.208000, 84.572177, 0.001198, 0.000533, 0.526647, 8
128, 0.500000, -1464.320000, 26.616650, 0.014679, 0.001206, 0.220560, 2
192, 0.500000, 329.312000, 32.637400, 0.005504, 0.000561, 0.487152, 2
256, 0.500000, -868.304000, 38.052748, 0.001110, 0.000391, 0.935060, 2
320, 0.500000, -244.616000, 41.025549, -0.000914, 0.000281, 1.285796, 2
128, 0.500000, -1394.048000, 37.690666, 0.006674, 0.001638, 0.162476, 4
192, 0.500000, -1426.392000, 50.784500, 0.006865, 0.000795, 0.324521, 4
256, 0.500000, -2549.456000, 50.607125, 0.005690, 0.000536, 0.532708, 4
320, 0.500000, -4140.192000, 54.600809, 0.001229, 0.000361, 0.870559, 4
128, 0.500000, -2347.464000, 54.840863, 0.004655, 0.002385, 0.108071, 8
192, 0.500000, -3200.800000, 58.252428, 0.007272, 0.001174, 0.186575, 8
256, 0.500000, -4632.944000, 76.715801, 0.001624, 0.000767, 0.322252, 8
320, 0.500000, -5000.208000, 84.572177, 0.001198, 0.000533, 0.511407, 8
128, 0.500000, -1464.320000, 26.616650, 0.014679, 0.001206, 0.224974, 2
192, 0.500000, 329.312000, 32.637400, 0.005504, 0.000561, 0.532509, 2
256, 0.500000, -868.304000, 38.052748, 0.001110, 0.000391, 0.850251, 2
320, 0.500000, -244.616000, 41.025549, -0.000914, 0.000281, 1.407032, 2
128, 0.500000, -1394.048000, 37.690666, 0.006674, 0.001638, 0.147196, 4
192, 0.500000, -1426.392000, 50.784500, 0.006865, 0.000795, 0.318173, 4
256, 0.500000, -2549.456000, 50.607125, 0.005690, 0.000536, 0.506783, 4
320, 0.500000, -4140.192000, 54.600809, 0.001229, 0.000361, 0.894690, 4
128, 0.500000, -2347.464000, 54.840863, 0.004655, 0.002385, 0.105869, 8
192, 0.500000, -3200.800000, 58.252428, 0.007272, 0.001174, 0.195324, 8
256, 0.500000, -4632.944000, 76.715801, 0.001624, 0.000767, 0.371416, 8
320, 0.500000, -5000.208000, 84.572177, 0.001198, 0.000533, 0.521206, 8
