N, beta, avg_energy, std_energy, avg_mag, std_mag, tot_time, num_threads
128, 0.500000, -1464.320000, 26.616650, 0.014679, 0.001206, 0.248332, 2
192, 0.500000, 329.312000, 32.637400, 0.005504, 0.000561, 0.522714, 2
256, 0.500000, -868.304000, 38.052748, 0.001110, 0.000391, 0.908865, 2
320, 0.500000, -244.616000, 41.025549, -0.000914, 0.000281, 1.378034, 2
128, 0.500000, -1394.048000, 37.690666, 0.006674, 0.001638, 0.159893, 4
192, 0.500000, -1426.392000, 50.784500, 0.006865, 0.000795, 0.331374, 4
256, 0.500000, -2549.456000, 50.607125, 0.005690, 0.000536, 0.561281, 4
320, 0.500000, -4140.192000, 54.600809, 0.001229, 0.000361, 0.863201, 4
128, 0.500000, -2347.464000, 54.840863, 0.004655, 0.002385, 0.101069, 8
192, 0.500000, -3200.800000, 58.252428, 0.007272, 0.001174, 0.244015, 8
256, 0.500000, -4632.944000, 76.715801, 0.001624, 0.000767, 0.351672, 8
320, 0.500000, -5000.208000, 84.572177, 0.001198, 0.000533, 0.503449, 8
