N, beta, avg_energy, std_energy, avg_mag, std_mag, tot_time, num_threads
128, 0.500000, -56847.472000, 814.282266, -0.773440, 0.187134, 1.402026, 1
192, 0.500000, -126081.768000, 1270.153019, 0.307273, 0.106501, 3.036889, 1
256, 0.500000, -223712.032000, 1893.294353, -0.167246, 0.054734, 5.467642, 1
320, 0.500000, -347005.120000, 2801.133915, 0.136314, 0.082899, 8.023593, 1
128, 0.500000, -55897.848000, 429.358449, 0.270345, 0.122598, 0.815187, 2
192, 0.500000, -126229.536000, 1408.293789, 0.518070, 0.154551, 1.791730, 2
256, 0.500000, -224304.928000, 2074.083717, -0.467987, 0.174407, 3.190378, 2
