N, beta, avg_energy, std_energy, avg_mag, std_mag, tot_time, num_threads
128, 0.500000, -56405.256000, 764.555814, -0.751189, 0.162649, 1.410617, 1
192, 0.500000, -126236.976000, 1252.386406, 0.358477, 0.171165, 3.095875, 1
256, 0.500000, -222903.256000, 1761.786923, -0.043845, 0.040270, 5.318349, 1
320, 0.500000, -346122.432000, 2050.700978, -0.047301, 0.026306, 8.325843, 1
128, 0.500000, -55400.432000, 460.633612, -0.212565, 0.086966, 0.799048, 2
192, 0.500000, -125508.848000, 1285.260281, -0.200667, 0.124674, 1.979073, 2
256, 0.500000, -221883.392000, 1492.340516, 0.112666, 0.026600, 3.156640, 2
320, 0.500000, -347900.768000, 3061.966690, -0.043053, 0.020297, 4.915712, 2
128, 0.500000, -55302.608000, 582.527232, 0.099566, 0.131463, 0.616502, 4
192, 0.500000, -125269.792000, 1215.627144, 0.436926, 0.159021, 1.228907, 4
256, 0.500000, -224637.080000, 1290.743347, 0.350929, 0.078076, 2.123380, 4
320, 0.500000, -349391.088000, 2854.241645, -0.164896, 0.036559, 3.129529, 4
128, 0.500000, -56582.632000, 1033.402211, 0.727864, 0.229774, 0.514746, 8
192, 0.500000, -124756.344000, 1190.404079, 0.231661, 0.099415, 0.842943, 8
256, 0.500000, -222678.112000, 2111.724226, -0.019600, 0.028849, 1.384039, 8
320, 0.500000, -347485.416000, 2515.230718, -0.258082, 0.086390, 2.609497, 8
128, 0.500000, -56498.904000, 933.580241, -0.754254, 0.192860, 1.303240, 1
