grid, 2,      4,      8,      16,     32,     64
1024, 45.439, 14.503, 8.1256, 4.6612, 3.1941, 2.4557
1472, 94.17,  29.751, 16.469, 9.3319, 6.1626, 4.6882
2048, 183.3,  59.278, 32.155, 18.235, 11.457, 8.749
2880, 361.79, 115.81, 64.887, 35.961, 22.334, 16.935
4032, 708.38, 231.97, 127.81, 67.643, 42.773, 32.705
5696, 1408.7, 472.6,  258.95, 135.82, 84.796, 64.031
8000, 2775.1, 933.45, 517.62, 283.78, 165.66, 124.15
11328,5555.4, 1952.4, 1055,   567.28, 328.95, 245.77
