N, beta, avg_energy, std_energy, avg_mag, std_mag, tot_time, num_threads
1024, 0.500000, -3562946.288000, 28585.491713, -0.028065, 0.016048, 3.237246, 32
1472, 0.500000, -7371905.280000, 54838.198803, 0.029830, 0.013356, 5.798029, 32
2048, 0.500000, -14253250.232000, 117640.261702, 0.008706, 0.010367, 11.792090, 32
2880, 0.500000, -28207391.648000, 218854.174073, 0.001919, 0.003695, 22.650292, 32
4032, 0.500000, -55356290.288000, 436989.295413, -0.006644, 0.001877, 43.405873, 32
5696, 0.500000, -110537230.096000, 890798.755563, -0.008181, 0.002732, 84.976581, 32
8000, 0.500000, -217905354.824000, 1678589.190125, 0.001414, 0.001607, 166.696430, 32
11328, 0.500000, -437121044.568000, 3515942.784738, -0.001022, 0.000863, 326.165765, 32
1024, 0.500000, -3566894.584000, 26897.877455, -0.111073, 0.047583, 2.462292, 64
1472, 0.500000, -7356042.592000, 56357.448567, 0.008737, 0.007105, 4.706760, 64
2048, 0.500000, -14249235.600000, 109700.888296, 0.002149, 0.006898, 8.732245, 64
2880, 0.500000, -28214604.552000, 209927.809800, 0.006792, 0.002620, 16.939925, 64
4032, 0.500000, -55354422.624000, 427175.400308, 0.009541, 0.002607, 32.910437, 64
5696, 0.500000, -110537290.864000, 877524.538845, 0.023609, 0.005092, 64.130099, 64
8000, 0.500000, -217842846.496000, 1678666.290902, 0.005499, 0.002843, 124.063845, 64
11328, 0.500000, -437025324.120000, 3452989.828967, 0.004916, 0.001461, 245.734743, 64
1024, 0.500000, -3566507.064000, 30888.386669, 0.049885, 0.021065, 45.513605, 2
1472, 0.500000, -7380991.176000, 58651.216075, -0.048000, 0.020805, 94.784110, 2
2048, 0.500000, -14282181.232000, 115967.117945, -0.008749, 0.004287, 185.454464, 2
2880, 0.500000, -28274516.240000, 229436.516682, -0.006996, 0.008145, 365.976639, 2
4032, 0.500000, -55398648.256000, 451302.594351, -0.008904, 0.002123, 717.105574, 2
5696, 0.500000, -110629642.064000, 894186.026869, -0.009670, 0.001451, 1431.678487, 2
8000, 0.500000, -217838035.096000, 1651296.780408, -0.009031, 0.001997, 2824.304125, 2
11328, 0.500000, -437253479.352000, 3551654.478674, -0.008205, 0.001418, 5650.970912, 2
1024, 0.500000, -3560770.072000, 28671.994188, 0.173868, 0.058831, 14.329083, 4
1472, 0.500000, -7365824.216000, 57376.435595, -0.020226, 0.013166, 30.095824, 4
